action,month,day,hour,count,sum,avg,std,step
CASH_IN,1,1,0,12,95265,7938.75,11547.441890070088,0
CASH_OUT,1,1,0,3,7150,2383.3333333333335,577.3502691896257,0
PAYMENT,1,1,0,108,1541650,14274.537037037036,26350.431672296618,0
TRANSFER,1,1,0,185,3237545,17500.243243243243,31278.68530089568,0
CASH_IN,1,1,1,2,16450,8225.0,3217.335854398791,1
CASH_OUT,1,1,1,1,2050,2050.0,0.0,1
PAYMENT,1,1,1,58,790010,13620.862068965518,23964.996552683144,1
TRANSFER,1,1,1,143,1634460,11429.79020979021,22375.50263715962,1
CASH_IN,1,1,2,4,24370,6092.5,9685.59970609289,2
PAYMENT,1,1,2,46,1437690,31254.130434782608,95971.63747288598,2
TRANSFER,1,1,2,138,1293945,9376.41304347826,24451.976634004484,2
CASH_IN,1,1,3,1,505,505.0,0.0,3
CASH_OUT,1,1,3,2,6100,3050.0,1414.213562373095,3
PAYMENT,1,1,3,47,329430,7009.148936170212,11483.753804129445,3
TRANSFER,1,1,3,98,1399420,14279.795918367347,34839.83837652309,3
CASH_IN,1,1,4,2,3100,1550.0,707.1067811865476,4
PAYMENT,1,1,4,25,313150,12526.0,20532.374537950225,4
TRANSFER,1,1,4,47,560420,11923.829787234043,30868.60715743364,4
CASH_IN,1,1,5,1,4550,4550.0,0.0,5
CASH_OUT,1,1,5,2,5100,2550.0,707.1067811865476,5
PAYMENT,1,1,5,24,487910,20329.583333333332,40506.58346697073,5
TRANSFER,1,1,5,161,6379430,39623.78881987578,43601.01802057063,5
CASH_IN,1,1,6,3,14600,4866.666666666667,4980.043507172737,6
CASH_OUT,1,1,6,2,7400,3700.0,1909.1883092036783,6
PAYMENT,1,1,6,33,775725,23506.81818181818,60029.650483872625,6
TRANSFER,1,1,6,93,3787175,40722.31182795699,214510.6959195528,6
CASH_IN,1,1,7,4,32550,8137.5,7161.980056753393,7
CASH_OUT,1,1,7,2,15750,7875.0,9369.164850721754,7
PAYMENT,1,1,7,33,515530,15622.121212121212,17391.11631292967,7
TRANSFER,1,1,7,48,780520,16260.833333333334,30447.40139024084,7
CASH_IN,1,1,8,3,5685,1895.0,1239.788288378302,8
PAYMENT,1,1,8,60,1067325,17788.75,38085.74006491633,8
TRANSFER,1,1,8,67,817655,12203.805970149253,34450.9836149498,8
CASH_IN,1,1,9,1,1050,1050.0,0.0,9
CASH_OUT,1,1,9,5,342050,68410.0,93902.35886281026,9
PAYMENT,1,1,9,68,920620,13538.529411764706,18898.307652629916,9
TRANSFER,1,1,9,109,2899920,26604.770642201835,82784.45847496498,9
CASH_IN,1,1,10,1,605,605.0,0.0,10
CASH_OUT,1,1,10,1,2050,2050.0,0.0,10
PAYMENT,1,1,10,80,700950,8761.875,14741.74391069391,10
TRANSFER,1,1,10,134,2853110,21291.86567164179,71025.99235033778,10
CASH_IN,1,1,11,7,70105,10015.0,9127.827872318072,11
CASH_OUT,1,1,11,3,36750,12250.0,6378.675411086537,11
PAYMENT,1,1,11,99,1020425,10307.323232323231,16752.365174364815,11
TRANSFER,1,1,11,138,1753260,12704.782608695652,20408.86306383174,11
CASH_IN,1,1,12,3,14600,4866.666666666667,4878.609774652338,12
CASH_OUT,1,1,12,3,48615,16205.0,14984.527853756354,12
PAYMENT,1,1,12,94,4851650,51613.29787234042,357090.228114427,12
TRANSFER,1,1,12,171,2336075,13661.25730994152,21895.298166323886,12
CASH_IN,1,1,13,2,3000,1500.0,70.71067811865476,13
CASH_OUT,1,1,13,2,790,395.0,537.4011537017761,13
PAYMENT,1,1,13,106,2591330,24446.509433962263,101758.19949686005,13
TRANSFER,1,1,13,161,2455645,15252.453416149068,35335.68239541128,13
CASH_OUT,1,1,14,3,37050,12350.0,9363.092437864747,14
PAYMENT,1,1,14,111,1479860,13332.072072072073,31497.79629714715,14
TRANSFER,1,1,14,183,3422870,18704.207650273223,46807.90531582827,14
CASH_IN,1,1,15,1,2050,2050.0,0.0,15
CASH_OUT,1,1,15,6,78900,13150.0,10517.509210835044,15
PAYMENT,1,1,15,109,3473730,31869.08256880734,135591.6546260983,15
TRANSFER,1,1,15,178,3655955,20539.073033707864,49006.74781867286,15
CASH_IN,1,1,16,4,40305,10076.25,14031.129305345787,16
CASH_OUT,1,1,16,1,20500,20500.0,0.0,16
PAYMENT,1,1,16,109,1202040,11027.88990825688,26634.641988200623,16
TRANSFER,1,1,16,167,2493475,14930.988023952095,45920.39311993105,16
CASH_IN,1,1,17,4,4200,1050.0,0.0,17
CASH_OUT,1,1,17,4,38350,9587.5,13981.378985398163,17
PAYMENT,1,1,17,118,1127105,9551.737288135593,16279.10074608953,17
TRANSFER,1,1,17,185,3668655,19830.567567567567,58144.86664533071,17
CASH_IN,1,1,18,3,4150,1383.3333333333333,577.3502691896257,18
CASH_OUT,1,1,18,3,20000,6666.666666666667,5216.400419190741,18
PAYMENT,1,1,18,125,1200610,9604.88,15264.656699012583,18
TRANSFER,1,1,18,222,2445190,11014.36936936937,22692.49795420087,18
CASH_IN,1,1,19,2,14100,7050.0,1414.213562373095,19
CASH_OUT,1,1,19,6,10585,1764.1666666666667,1637.19399176355,19
PAYMENT,1,1,19,141,1154145,8185.425531914893,15324.472135972603,19
TRANSFER,1,1,19,224,3842110,17152.276785714286,86127.51831534863,19
CASH_IN,1,1,20,6,75105,12517.5,14395.715942599034,20
CASH_OUT,1,1,20,4,50200,12550.0,13883.023205819882,20
PAYMENT,1,1,20,129,3185735,24695.62015503876,163822.65315016505,20
TRANSFER,1,1,20,227,3972625,17500.550660792953,76404.70015068304,20
CASH_IN,1,1,21,7,25850,3692.8571428571427,2760.952216692122,21
CASH_OUT,1,1,21,10,239050,23905.0,40512.058904314734,21
PAYMENT,1,1,21,146,2011025,13774.143835616438,41061.7037344077,21
TRANSFER,1,1,21,257,2776590,10803.85214007782,18950.425223665552,21
CASH_IN,1,1,22,1,12500,12500.0,0.0,22
CASH_OUT,1,1,22,2,55000,27500.0,4242.640687119285,22
PAYMENT,1,1,22,126,1358745,10783.690476190477,22548.619506999283,22
TRANSFER,1,1,22,229,4591155,20048.711790393012,60084.965857750954,22
CASH_IN,1,1,23,1,1550,1550.0,0.0,23
CASH_OUT,1,1,23,2,3100,1550.0,707.1067811865476,23
PAYMENT,1,1,23,109,863045,7917.844036697248,15540.312353368743,23
TRANSFER,1,1,23,174,1844715,10601.810344827587,30636.52001139995,23
CASH_IN,1,2,0,5,27730,5546.0,9541.279657362527,24
CASH_OUT,1,2,0,1,2450,2450.0,0.0,24
PAYMENT,1,2,0,103,2577445,25023.73786407767,45829.72926677513,24
TRANSFER,1,2,0,147,1173670,7984.149659863946,16469.24146740508,24
CASH_IN,1,2,1,6,15300,2550.0,2738.6127875258308,25
PAYMENT,1,2,1,69,1701380,24657.681159420288,72134.7585180381,25
TRANSFER,1,2,1,116,1228435,10589.956896551725,18264.05115420298,25
CASH_IN,1,2,2,2,8100,4050.0,3535.5339059327375,26
CASH_OUT,1,2,2,1,18500,18500.0,0.0,26
PAYMENT,1,2,2,59,2208715,37435.84745762712,90018.52332921753,26
TRANSFER,1,2,2,73,921955,12629.520547945205,28461.440095968046,26
CASH_IN,1,2,3,4,25555,6388.75,9456.96425480538,27
CASH_OUT,1,2,3,2,6100,3050.0,2828.42712474619,27
PAYMENT,1,2,3,66,14065685,213116.4393939394,671158.2158556868,27
TRANSFER,1,2,3,48,553290,11526.875,29716.86161919998,27
CASH_IN,1,2,4,2,14250,7125.0,4772.970773009196,28
